;year_month;Count
1;01/01/1990;49
2;01/02/1990;26
3;01/03/1990;60
4;01/04/1990;37
5;01/05/1990;38
6;01/06/1990;43
7;01/07/1990;47
8;01/08/1990;39
9;01/09/1990;31
10;01/10/1990;29
11;01/11/1990;58
12;01/12/1990;41
13;01/01/1991;44
14;01/02/1991;47
15;01/03/1991;43
16;01/04/1991;46
17;01/05/1991;52
18;01/06/1991;44
19;01/07/1991;47
20;01/08/1991;42
21;01/09/1991;33
22;01/10/1991;51
23;01/11/1991;40
24;01/12/1991;33
25;01/01/1992;44
26;01/02/1992;33
27;01/03/1992;40
28;01/04/1992;33
29;01/05/1992;36
30;01/06/1992;49
31;01/07/1992;34
32;01/08/1992;35
33;01/09/1992;50
34;01/10/1992;62
35;01/11/1992;46
36;01/12/1992;31
37;01/01/1993;34
38;01/02/1993;53
39;01/03/1993;52
40;01/04/1993;51
41;01/05/1993;70
42;01/06/1993;36
43;01/07/1993;55
44;01/08/1993;50
45;01/09/1993;51
46;01/10/1993;42
47;01/11/1993;47
48;01/12/1993;46
49;01/01/1994;43
50;01/02/1994;37
51;01/03/1994;48
52;01/04/1994;39
53;01/05/1994;34
54;01/06/1994;28
55;01/07/1994;47
56;01/08/1994;46
57;01/09/1994;48
58;01/10/1994;43
59;01/11/1994;52
60;01/12/1994;43
61;01/01/1995;55
62;01/02/1995;39
63;01/03/1995;53
64;01/04/1995;58
65;01/05/1995;50
66;01/06/1995;45
67;01/07/1995;51
68;01/08/1995;49
69;01/09/1995;46
70;01/10/1995;87
71;01/11/1995;58
72;01/12/1995;54
73;01/01/1996;47
74;01/02/1996;48
75;01/03/1996;114
76;01/04/1996;59
77;01/05/1996;61
78;01/06/1996;313
79;01/07/1996;92
80;01/08/1996;67
81;01/09/1996;38
82;01/10/1996;55
83;01/11/1996;36
84;01/12/1996;80
85;01/01/1997;44
86;01/02/1997;52
87;01/03/1997;80
88;01/04/1997;63
89;01/05/1997;68
90;01/06/1997;49
91;01/07/1997;65
92;01/08/1997;59
93;01/09/1997;63
94;01/10/1997;45
95;01/11/1997;58
96;01/12/1997;67
97;01/01/1998;74
98;01/02/1998;58
99;01/03/1998;51
100;01/04/1998;57
101;01/05/1998;101
102;01/06/1998;53
103;01/07/1998;51
104;01/08/1998;100
105;01/09/1998;56
106;01/10/1998;57
107;01/11/1998;71
108;01/12/1998;43
109;01/01/1999;52
110;01/02/1999;56
111;01/03/1999;59
112;01/04/1999;52
113;01/05/1999;73
114;01/06/1999;52
115;01/07/1999;34
116;01/08/1999;62
117;01/09/1999;36
118;01/10/1999;35
119;01/11/1999;34
120;01/12/1999;76
121;01/01/2000;56
122;01/02/2000;61
123;01/03/2000;40
124;01/04/2000;39
125;01/05/2000;49
126;01/06/2000;38
127;01/07/2000;69
128;01/08/2000;55
129;01/09/2000;47
130;01/10/2000;34
131;01/11/2000;52
132;01/12/2000;54
133;01/01/2001;47
134;01/02/2001;49
135;01/03/2001;55
136;01/04/2001;58
137;01/05/2001;48
138;01/06/2001;82
139;01/07/2001;43
140;01/08/2001;57
141;01/09/2001;54
142;01/10/2001;55
143;01/11/2001;36
144;01/12/2001;56
145;01/01/2002;45
146;01/02/2002;52
147;01/03/2002;87
148;01/04/2002;61
149;01/05/2002;49
150;01/06/2002;90
151;01/07/2002;66
152;01/08/2002;75
153;01/09/2002;53
154;01/10/2002;65
155;01/11/2002;703
156;01/12/2002;124
157;01/01/2003;107
158;01/02/2003;94
159;01/03/2003;120
160;01/04/2003;72
161;01/05/2003;59
162;01/06/2003;90
163;01/07/2003;88
164;01/08/2003;68
165;01/09/2003;67
166;01/10/2003;77
167;01/11/2003;89
168;01/12/2003;82
169;01/01/2004;72
170;01/02/2004;64
171;01/03/2004;63
172;01/04/2004;67
173;01/05/2004;70
174;01/06/2004;88
175;01/07/2004;69
176;01/08/2004;73
177;01/09/2004;72
178;01/10/2004;56
179;01/11/2004;73
180;01/12/2004;64
181;01/01/2005;91
182;01/02/2005;64
183;01/03/2005;61
184;01/04/2005;81
185;01/05/2005;88
186;01/06/2005;160
187;01/07/2005;67
188;01/08/2005;70
189;01/09/2005;61
190;01/10/2005;80
191;01/11/2005;85
192;01/12/2005;64
193;01/01/2006;77
194;01/02/2006;89
195;01/03/2006;81
196;01/04/2006;63
197;01/05/2006;82
198;01/06/2006;249
199;01/07/2006;163
200;01/08/2006;117
201;01/09/2006;89
202;01/10/2006;72
203;01/11/2006;80
204;01/12/2006;61
205;01/01/2007;65
206;01/02/2007;60
207;01/03/2007;58
208;01/04/2007;98
209;01/05/2007;58
210;01/06/2007;65
211;01/07/2007;113
212;01/08/2007;154
213;01/09/2007;71
214;01/10/2007;152
215;01/11/2007;73
216;01/12/2007;203
217;01/01/2008;61
218;01/02/2008;92
219;01/03/2008;122
220;01/04/2008;146
221;01/05/2008;119
222;01/06/2008;101
223;01/07/2008;86
224;01/08/2008;169
225;01/09/2008;70
226;01/10/2008;71
227;01/11/2008;115
228;01/12/2008;63
229;01/01/2009;80
230;01/02/2009;55
231;01/03/2009;71
232;01/04/2009;67
233;01/05/2009;95
234;01/06/2009;95
235;01/07/2009;63
236;01/08/2009;79
237;01/09/2009;65
238;01/10/2009;130
239;01/11/2009;77
240;01/12/2009;79
241;01/01/2010;65
242;01/02/2010;79
243;01/03/2010;81
244;01/05/2010;80
245;01/06/2010;79
246;01/07/2010;577
247;01/08/2010;198
248;01/09/2010;103
249;01/10/2010;138
250;01/11/2010;152
251;01/12/2010;172
252;01/01/2011;80
253;01/02/2011;81
254;01/03/2011;69
255;01/04/2011;65
256;01/05/2011;83
257;01/06/2011;166
